Business Name,GBP Primary Category,GBP Subcategories,Phone Number,Website URL,Google Maps URL,Star Rating,Review Count,Price Range,Opening Hours,GBP Description,GBP Attributes,GBP Verified,Latest Review Date,Social Media Links,Google Photos Count,Full Address,Location,Borough,Postcode,Postcode District,Latitude,Longitude,Directory Slug,Cuisine Tags,Seafood Specialities,Booking Link,Menu Link,Delivery Platforms,Has Website,Has Booking,Has Delivery,Listing Status,Lead Priority
The Seafood Bar,Seafood restaurant,N/A,+44 20 4525 0733,https://www.theseafoodbar.com/,https://maps.google.com/maps?q=The+Seafood+Bar+London,4.8,12020,£££,Mon–Sun: 12–11 PM,High-end Dutch seafood restaurant in Soho serving fresh sustainable seafood.,"Dine-in, Wheelchair accessible",Yes,N/A,N/A,N/A,"77 Dean St, London W1D 3SH",Soho / West End,Westminster,W1D 3SH,W1,51.5140965,-0.1329194,/seafood-restaurants/westminster/soho-west-end/the-seafood-bar/,"Seafood Platters, Grilled Fish, Lobster, Oysters","Roast Scallop, Lobster Soup, Shrimp",https://www.theseafoodbar.com/london,https://www.theseafoodbar.com/english-menu,N/A,Yes,Yes,No,Active,LOW
Randall & Aubin,Seafood restaurant,"French restaurant, Fish and seafood restaurant",+44 20 7287 4447,http://www.randallandaubin.com/,https://maps.google.com/maps?q=Randall+Aubin+London,4.6,2142,£££,Mon–Thu: 12–10:30 PM | Fri–Sat: 12–11:30 PM | Sun: 12–9:30 PM,Seafood & Modern British cuisine in a converted Soho butcher shop.,"Dine-in, Takeaway, LGBTQ+ friendly",Yes,N/A,N/A,N/A,"16 Brewer St, London W1F 0SQ",Soho / Carnaby,Westminster,W1F 0SQ,W1F,51.5123279,-0.1341322,/seafood-restaurants/westminster/soho-carnaby/randall-aubin/,"Seafood, French Cuisine, Oysters","Fresh fish, Oysters, Champagne bar",https://www.randallandaubin.com/,https://www.randallandaubin.com/menus/,N/A,Yes,Yes,No,Active,LOW
Manzi's,Seafood restaurant,Italian restaurant,+44 20 3540 4546,http://www.manzis.co.uk/,https://maps.google.com/maps?q=Manzis+London,4.4,446,£££,Mon: Closed | Tue: 12–9:30 PM | Wed–Thu: 12–10:45 PM | Fri–Sat: 12–11 PM | Sun: 12–5 PM,Italian-inspired seafood restaurant with stunning decor in Soho.,"Dine-in, Reservations",Yes,N/A,N/A,N/A,"1-8 Bateman's Buildings, London W1D 3EN",Soho / West End,Westminster,W1D 3EN,W1,51.514513,-0.1316217,/seafood-restaurants/westminster/soho-west-end/manzis/,"Seafood, Italian, Fish","Seafood pasta, Fresh fish",https://www.opentable.co.uk/restaurant/profile/266016,https://manzis.co.uk/menus/,N/A,Yes,Yes,No,Active,LOW
Fish Central,Seafood restaurant,Fish & chips shop,+44 20 7253 4970,https://www.fishcentral.co.uk/,https://maps.google.com/maps?q=Fish+Central+London,4.7,1175,£££,"Mon–Thu: 6 AM–3:30 PM, 5–10 PM | Fri: 6 AM–10:30 PM | Sat: 12–10:30 PM | Sun: Closed",Market-fresh fish in simple surroundings. Established neighbourhood favourite in Clerkenwell.,"Dine-in, Takeaway, Reservations, Wheelchair accessible",Yes,N/A,N/A,N/A,"149-155 Central St, King Square, London EC1V 8AP",Clerkenwell,Islington,EC1V 8AP,EC1,51.5275453,-0.0971321,/seafood-restaurants/islington/clerkenwell/fish-central/,"Fish & Chips, Seafood, Grilled Fish","Market-fresh fish, Fish & Chips",https://www.quandoo.co.uk/place/fish-central-44619,https://www.fishcentral.co.uk/,N/A,Yes,Yes,No,Active,LOW
J Sheekey,Seafood restaurant,Fish and seafood restaurant,+44 20 7240 2565,https://j-sheekey.co.uk/,https://maps.google.com/maps?q=J+Sheekey+London,4.5,2630,££££,Mon–Sat: 12–10:45 PM | Sun: 12–10 PM,Iconic London seafood restaurant open since 1896 in Covent Garden.,"Dine-in, Reservations",Yes,N/A,N/A,N/A,"28-32 St Martin's Ct, London WC2N 4AL",Covent Garden,Westminster,WC2N 4AL,WC2,51.5108994,-0.1278082,/seafood-restaurants/westminster/covent-garden/j-sheekey/,"Seafood, Oysters, Fish, British Seafood","Oysters, Lobster, Skate wing, Fish pie",https://www.opentable.co.uk/restaurant/profile/111285,https://j-sheekey.co.uk/menus/,N/A,Yes,Yes,No,Active,LOW
Scott's,Seafood restaurant,"Fish and seafood restaurant, British restaurant",+44 20 7495 7309,https://scotts-mayfair.com/,https://maps.google.com/maps?q=Scotts+Mayfair+London,4.6,2935,££££,Mon–Sun: 12 PM onwards (see website),Legendary Mayfair seafood and fish restaurant established in 1851.,"Dine-in, Reservations",Yes,N/A,N/A,N/A,"20 Mount St, London W1K 2HE",Mayfair,Westminster,W1K 2HE,W1K,51.5098953,-0.1508345,/seafood-restaurants/westminster/mayfair/scotts/,"Seafood, Lobster, Oysters, Fish, British Cuisine","Lobster, Oysters, Native seafood",https://www.opentable.co.uk/restaurant/profile/124548,https://scotts-mayfair.com/menus/,N/A,Yes,Yes,No,Active,LOW
Bentley's Oyster Bar & Grill,Seafood restaurant,"Oyster bar restaurant, Fish and seafood restaurant",+44 20 7734 4756,https://www.bentleys.org/,https://maps.google.com/maps?q=Bentleys+Oyster+Bar+London,4.5,2050,££££,Mon–Sun: 12 PM onwards (see website),"Historic oyster bar and grill in Piccadilly, established 1916.","Dine-in, Reservations, LGBTQ+ friendly",Yes,N/A,N/A,N/A,"11-15 Swallow St, Piccadilly, London W1B 4DG",Soho / West End,Westminster,W1B 4DG,W1,51.5095467,-0.1376725,/seafood-restaurants/westminster/soho-west-end/bentleys-oyster-bar-grill/,"Oysters, Seafood, Grilled Fish, British Cuisine","Native oysters, Grilled fish, Lobster",N/A,https://www.bentleys.org/menus,N/A,Yes,No,No,Active,LOW
Wright Brothers Borough Market,Seafood restaurant,Oyster bar restaurant,+44 20 7403 9554,http://www.thewrightbrothers.co.uk/,https://maps.google.com/maps?q=Wright+Brothers+Borough+Market+London,4.4,1440,£££,Mon–Sat: 12–9:30 PM | Sun: 12–9 PM,Seafood restaurant inside Borough Market specialising in fresh oysters.,"Dine-in, Takeaway",Yes,N/A,N/A,N/A,"Borough Market, Stoney St, London SE1 9AD",Southwark / London Bridge,Southwark,SE1 9AD,SE1,51.5056055,-0.0915883,/seafood-restaurants/southwark/southwark-london-bridge/wright-brothers-borough-market/,"Oysters, Seafood, Fish, Lobster","Oysters, Seafood platters, Fresh fish",N/A,https://thewrightbrothers.co.uk/food-menu-locations/borough-market/,N/A,Yes,No,No,Active,LOW
The Oystermen Seafood Bar & Kitchen,Seafood restaurant,Oyster bar restaurant,+44 20 7240 4417,https://www.oystermen.co.uk/,https://maps.google.com/maps?q=The+Oystermen+Covent+Garden+London,4.5,1790,£££,Mon–Sat: 12–11 PM | Sun: 12–9 PM,Independent seafood bar and kitchen near Covent Garden.,"Dine-in, Takeaway",Yes,N/A,N/A,N/A,"32 Henrietta St, London WC2E 8NA",Covent Garden,Westminster,WC2E 8NA,WC2,51.5112828,-0.1235696,/seafood-restaurants/westminster/covent-garden/the-oystermen-seafood-bar-kitchen/,"Oysters, Seafood, Fish, Shellfish","Oysters, Fresh shellfish, Seafood",N/A,N/A,N/A,Yes,No,No,Active,LOW
Burger & Lobster Soho,Seafood restaurant,"American restaurant, Lobster restaurant",+44 20 7432 4800,https://www.burgerandlobster.com/,https://maps.google.com/maps?q=Burger+Lobster+Soho+London,4.6,10125,£££,Mon–Wed: 12–10 PM | Thu: 12–10:30 PM | Fri–Sat: 12–11 PM | Sun: 12–10 PM,"Diner-style eatery specialising in whole lobster, lobster rolls and burgers.","Dine-in, Delivery, Reservations, LGBTQ+ friendly, Wheelchair accessible",Yes,N/A,N/A,N/A,"36-38 Dean St, London W1D 4PS",Soho / West End,Westminster,W1D 4PS,W1,51.5135078,-0.1321987,/seafood-restaurants/westminster/soho-west-end/burger-lobster-soho/,"Lobster, Seafood, Burgers, American","Whole Lobster, Lobster Roll, Lobster Burger",https://www.opentable.co.uk/restaurant/profile/306678,https://www.burgerandlobster.com/locations/london/soho-london/soho-menu/,N/A,Yes,Yes,No,Active,LOW
